Country,State,City,Latitude,Longitude,population,Rank,Timestamp,DateValues
India,Tamil Nadu,Chennai,13.06287225,80.23234919,12442,1,10/1/2020 17:11,10/1/2020 17:11
India,Maharashtra,Mumbai,19.08154867,72.86675836,424,2,10/1/2020 17:11,10/1/2020 17:11
India,Telangana,Hyderabad,17.38781802,78.49224498,34124,3,10/12/2020 17:11,10/12/2020 17:11
India,Andhra Pradesh,Andhra Pradesh,17.70134039,83.22962396,324141,5,10/11/2020 17:11,10/11/2020 17:11
India,Maharashtra,Nagpur,21.18012512,79.07249969,5231,6,10/9/2020 17:11,10/9/2020 17:11
India,Madhya Pradesh,Bhopal,23.19287527,77.33307247,21412,4,10/1/2021 17:11,10/1/2021 17:11
India,Tamil Nadu,Tiruvannamalai,12.22629389,79.07046892,42124,7,10/1/2021 17:11,10/1/2021 17:11
India,Tamil Nadu,Kallakkurichi,11.76033688,78.93466321,4353,9,10/1/2021 17:11,10/1/2021 17:11
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,10/1/2021 17:11,10/1/2021 17:11
Tanzania,Tanzania,Tanzania,-6.369028,34.888822,78,10,10/1/2021 17:11,10/1/2021 17:11
Ukraine,Ukraine,Ukraine,48.379433,31.16558,90,12,10/1/2021 17:11,10/1/2021 17:11
Uganda,Uganda,Uganda,1.373333,32.290275,1,11,10/1/2021 17:11,10/1/2021 17:11
United States,United States,United States,37.09024,-95.712891,34,14,10/1/2021 17:11,10/1/2021 17:11
Uruguay,Uruguay,Uruguay,-32.522779,-55.765835,56,15,10/1/2021 17:11,10/1/2021 17:11
Uzbekistan,Uzbekistan,Uzbekistan,41.377491,64.585262,78,16,10/1/2021 17:11,10/1/2021 17:11
Vatican City,Vatican City,Vatican City,41.902916,12.453389,90,17,10/1/2021 17:11,10/1/2021 17:11
India,Madhya Pradesh,Bhopal,23.19287527,77.33307247,21412,4,1/1/2021 0:00,1/1/2021 0:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 1:00,1/1/2021 1:00
India,Telangana,Hyderabad,17.38781802,78.49224498,34124,3,1/1/2021 2:00,1/1/2021 2:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 3:00,1/1/2021 3:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 4:00,1/1/2021 4:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 5:00,1/1/2021 5:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 6:00,1/1/2021 6:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 7:00,1/1/2021 7:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 8:00,1/1/2021 8:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 9:00,1/1/2021 9:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 10:00,1/1/2021 10:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 11:00,1/1/2021 11:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 12:00,1/1/2021 12:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 13:00,1/1/2021 13:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 14:00,1/1/2021 14:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 15:00,1/1/2021 15:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 16:00,1/1/2021 16:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 17:00,1/1/2021 17:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 18:00,1/1/2021 18:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 19:00,1/1/2021 19:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 20:00,1/1/2021 20:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 21:00,1/1/2021 21:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 22:00,1/1/2021 22:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/1/2021 23:00,1/1/2021 23:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 0:00,1/2/2021 0:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 1:00,1/2/2021 1:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 2:00,1/2/2021 2:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 3:00,1/2/2021 3:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 4:00,1/2/2021 4:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 5:00,1/2/2021 5:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 6:00,1/2/2021 6:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 7:00,1/2/2021 7:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 8:00,1/2/2021 8:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 9:00,1/2/2021 9:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 10:00,1/2/2021 10:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 11:00,1/2/2021 11:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 12:00,1/2/2021 12:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 13:00,1/2/2021 13:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 14:00,1/2/2021 14:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 15:00,1/2/2021 15:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 16:00,1/2/2021 16:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 17:00,1/2/2021 17:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 18:00,1/2/2021 18:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 19:00,1/2/2021 19:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 20:00,1/2/2021 20:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 21:00,1/2/2021 21:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 22:00,1/2/2021 22:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/2/2021 23:00,1/2/2021 23:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 0:00,1/3/2021 0:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 1:00,1/3/2021 1:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 2:00,1/3/2021 2:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 3:00,1/3/2021 3:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 4:00,1/3/2021 4:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 5:00,1/3/2021 5:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 6:00,1/3/2021 6:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 7:00,1/3/2021 7:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 8:00,1/3/2021 8:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 9:00,1/3/2021 9:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 10:00,1/3/2021 10:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 11:00,1/3/2021 11:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 12:00,1/3/2021 12:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 13:00,1/3/2021 13:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 14:00,1/3/2021 14:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 15:00,1/3/2021 15:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 16:00,1/3/2021 16:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 17:00,1/3/2021 17:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 18:00,1/3/2021 18:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 19:00,1/3/2021 19:00
India,Tamil Nadu,Thirukoilure,11.98270544,79.26482477,434,8,1/3/2021 20:00,1/3/2021 20:00
